2025 Federal Election House of Representatives First Preferences By Candidate By Vote Type [Please Note: These results are not final. Event:31496 Phase:PostElection Generated:2025-05-17T21:20:12 Cycle:a2242093-a4c5-463a-9c81-b409f7c34513 Created:2025-05-17T21:18:57 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
ACT,318,Bean,41076,LAMERTON,David,1,N,N,LP,Liberal,20232,363,60,878,2085,23618,-6.67
ACT,318,Bean,41682,PRICE,Jessie,2,N,N,IND,Independent,24393,357,79,630,1617,27076,26.42
ACT,318,Bean,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,8263,322,30,487,617,9719,-5.32
ACT,318,Bean,40676,SMITH,David,4,N,Y,ALP,Australian Labor Party,36875,651,118,1505,2919,42068,-0.68
ACT,318,Bean,999,Informal,Informal,999,N,N,,Informal,2392,73,10,63,133,2671,-0.34
ACT,101,Canberra,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,15722,276,68,1158,1012,18236,-4.95
ACT,101,Canberra,41742,LIDDICOAT,Mary-Jane,2,N,N,IMO,HEART Party,994,26,3,62,116,1201,1.3
ACT,101,Canberra,41696,MILES,Claire,3,N,N,IND,Independent,8627,164,26,443,827,10087,10.92
ACT,101,Canberra,41077,ROCHE,Will,4,N,N,LP,Liberal,13882,203,43,941,1820,16889,-3.48
ACT,101,Canberra,40677,PAYNE,Alicia,5,N,Y,ALP,Australian Labor Party,38026,543,145,2690,3300,44704,3.52
ACT,101,Canberra,41706,McTAGGART,Teresa,6,N,N,AJP,AJP,1029,34,1,57,120,1241,1.34
ACT,101,Canberra,999,Informal,Informal,999,N,N,,Informal,1728,49,7,85,142,2011,0.36
ACT,102,Fenner,41079,OLATUNBOSUN,Bola,1,N,N,LP,Liberal,17698,342,56,663,1645,20404,-5.91
