2022 Federal Election Senate First Preferences By Group By Vote Type By State [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:16 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,GroupAb,GroupNm,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,DeclarationPrePollVotes,DeclarationPrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage
NSW,LPNP,"Liberal Party of Australia,NSW Division-National Party of Australia NSW",1446601,36.69,38943,27.33,8304,25.14,50846,33.52,218380,41.14,1763074,36.73
NSW,ALP,Labor,1206066,30.59,40003,28.08,9812,29.71,43726,28.83,161565,30.44,1461172,30.44
NSW,GRN,The Greens,450207,11.42,21380,15.01,4172,12.63,21225,13.99,53085,10.00,550069,11.46
NSW,AJP,Animal Justice Party,83298,2.11,4666,3.27,1335,4.04,3544,2.34,10396,1.96,103239,2.15
NSW,AUD,Australian Democrats,14358,0.36,463,0.32,117,0.35,542,0.36,2062,0.39,17542,0.37
NSW,AUVA,Australian Values Party,7187,0.18,319,0.22,67,0.20,379,0.25,1091,0.21,9043,0.19
NSW,CEC,Citizens Party,11930,0.30,604,0.42,189,0.57,555,0.37,1141,0.21,14419,0.30
NSW,FIN,Federal ICAC Now,8528,0.22,332,0.23,71,0.21,358,0.24,1480,0.28,10769,0.22
NSW,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",13478,0.34,661,0.46,129,0.39,608,0.40,2689,0.51,17565,0.37
NSW,IAP,Indigenous - Aboriginal Party of Australia,31788,0.81,1881,1.32,519,1.57,1489,0.98,3293,0.62,38970,0.81
NSW,IMO,Informed Medical Options Party,14928,0.38,686,0.48,164,0.50,634,0.42,1997,0.38,18409,0.38
NSW,HMP,Legalise Cannabis Australia,102784,2.61,7515,5.27,2057,6.23,4306,2.84,8339,1.57,125001,2.60
NSW,LDP,Liberal Democrats,83614,2.12,3613,2.54,821,2.49,3887,2.56,9845,1.85,101780,2.12
NSW,ON,Pauline Hanson's One Nation,162559,4.12,6958,4.88,1739,5.26,6700,4.42,20165,3.80,198121,4.13
NSW,REAS,Reason Australia,24886,0.63,635,0.45,129,0.39,744,0.49,3913,0.74,30307,0.63
NSW,SUN,Seniors United Party of Australia,9857,0.25,239,0.17,64,0.19,388,0.26,2242,0.42,12790,0.27
NSW,ASP,"Shooters, Fishers and Farmers Party",75228,1.91,3642,2.56,769,2.33,3429,2.26,8075,1.52,91143,1.90
NSW,SAL,Socialist Alliance,6714,0.17,322,0.23,98,0.30,292,0.19,758,0.14,8184,0.17
NSW,SPP,Sustainable Australia Party - Stop Overdevelopment / Corruption,19813,0.50,1016,0.71,241,0.73,1010,0.67,3276,0.62,25356,0.53
NSW,GAP,The Great Australian Party,14287,0.36,632,0.44,172,0.52,614,0.40,1181,0.22,16886,0.35
NSW,TNL,TNL,7163,0.18,300,0.21,93,0.28,277,0.18,1082,0.20,8915,0.19
NSW,UAPP,UAP,134771,3.42,7185,5.04,1850,5.60,5613,3.70,12843,2.42,162262,3.38
NSW,UNAM,Unendorsed/Ungrouped Amalgamated,12712,0.32,481,0.34,118,0.36,522,0.34,1873,0.35,15706,0.33
VIC,LPNP,Liberal/The Nationals,922243,31.99,33139,23.58,6181,23.40,45501,29.36,226866,36.79,1233930,32.29
VIC,ALP,Australian Labor Party,911792,31.63,39334,27.99,7974,30.19,44633,28.80,198097,32.12,1201830,31.45
VIC,GRN,The Greens,400723,13.90,27802,19.79,3691,13.97,26443,17.07,70770,11.48,529429,13.85
VIC,AJP,Animal Justice Party,41208,1.43,2754,1.96,596,2.26,2591,1.67,10687,1.73,57836,1.51
VIC,AUD,Australian Democrats,22203,0.77,1098,0.78,273,1.03,1157,0.75,3962,0.64,28693,0.75
VIC,CYA,Australian Federation Party,9688,0.34,487,0.35,109,0.41,497,0.32,1576,0.26,12357,0.32
