2025 Federal Election Senate First Preferences By Group By Vote Type By State [Please Note: These results are not final. Event:31496 Phase:PostElection Generated:2025-05-18T13:03:02 Cycle:f5d301fa-b74a-4015-a1c0-a1a1258faf6c Created:2025-05-18T13:01:53 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.386.0],,,,,,,,,,,,,,
StateAb,GroupAb,GroupNm,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,DeclarationPrePollVotes,DeclarationPrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage
NSW,ALP,Labor,1546745,37.87,47451,35.62,2084,38.11,45918,37.01,180397,37.69,1822595,37.77
NSW,LPNP,Liberal & Nationals,1192889,29.21,30017,22.53,1237,22.62,33961,27.37,168524,35.21,1426628,29.56
NSW,GRN,The Greens,463113,11.34,20265,15.21,841,15.38,16194,13.05,39009,8.15,539422,11.18
NSW,HMP,Legalise Cannabis Party,141430,3.46,8247,6.19,243,4.44,4658,3.75,9824,2.05,164402,3.41
NSW,CYA,Trumpet of Patriots,98234,2.41,3973,2.98,142,2.6,3191,2.57,9466,1.98,115006,2.38
NSW,AJP,Animal Justice Party,47204,1.16,1963,1.47,90,1.65,1569,1.26,6807,1.42,57633,1.19
NSW,AV,Australia's Voice,29535,0.72,1388,1.04,60,1.1,1018,0.82,2626,0.55,34627,0.72
NSW,AUC,Australian Christians,47569,1.16,2110,1.58,86,1.57,1484,1.2,5364,1.12,56613,1.17
NSW,CEC,Citizens Party,8829,0.22,297,0.22,11,0.2,254,0.2,902,0.19,10293,0.21
NSW,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,13259,0.32,582,0.44,27,0.49,445,0.36,1531,0.32,15844,0.33
NSW,FFPA,Family First,66917,1.64,2676,2.01,101,1.85,1947,1.57,5258,1.1,76899,1.59
NSW,IAP,Indigenous - Aboriginal Party of Australia,26270,0.64,1504,1.13,53,0.97,952,0.77,1878,0.39,30657,0.64
NSW,JLN,Jacqui Lambie Network,40861,1,808,0.61,54,0.99,1283,1.03,7803,1.63,50809,1.05
NSW,PFHL,Libertarian / HEART / Gerard Rennick People First,77393,1.9,2608,1.96,103,1.88,2333,1.88,7226,1.51,89663,1.86
NSW,ON,Pauline Hanson's One Nation,246964,6.05,7971,5.98,282,5.16,7713,6.22,28049,5.86,290979,6.03
NSW,SAL,Socialist Alliance,10659,0.26,421,0.32,13,0.24,383,0.31,984,0.21,12460,0.26
NSW,SPP,Sustainable Australia Party - Universal Basic Income,13086,0.32,546,0.41,16,0.29,447,0.36,1560,0.33,15655,0.32
NSW,UNAM,Unendorsed/Ungrouped Amalgamated,13086,0.32,401,0.3,25,0.46,309,0.25,1397,0.29,15218,0.32
VIC,ALP,Australian Labor Party,1073853,34.88,42624,31.98,1374,36.59,43068,32.27,234042,35.31,1394961,34.77
VIC,LPNP,Liberal/The Nationals,952833,30.95,33498,25.14,926,24.66,40347,30.23,239001,36.06,1266605,31.57
VIC,GRN,The Greens,393994,12.8,22990,17.25,599,15.95,19917,14.92,59707,9.01,497207,12.39
VIC,AV,Australia's Voice,30932,1,1673,1.26,57,1.52,1004,0.75,4980,0.75,38646,0.96
