StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NSW,103,Banks,121441,Allawah (Banks),41763,TARUSTE,Allan,1,N,N,CYA,Trumpet of Patriots,16,6.99
NSW,103,Banks,121441,Allawah (Banks),41858,NICOL,Todd,2,N,N,ON,Pauline Hanson's One Nation,6,-0.75
NSW,103,Banks,121441,Allawah (Banks),41990,PEARCE,Phillip,3,N,N,AUD,Australian Democrats,4,1.75
NSW,103,Banks,121441,Allawah (Banks),41871,MOMIRCEVSKI,Marika,4,N,N,LTP,Libertarian,11,4.8
NSW,103,Banks,121441,Allawah (Banks),41486,HANNA,Natalie,5,N,N,GRN,The Greens,36,6.6
NSW,103,Banks,121441,Allawah (Banks),41350,SOON,Zhi,6,Y,N,ALP,Labor,94,3.44
NSW,103,Banks,121441,Allawah (Banks),41411,COLEMAN,David,7,N,Y,LP,Liberal,60,-15.56
NSW,103,Banks,121441,Allawah (Banks),40625,COYNE,John,8,N,N,IND,Independent,2,0.87
NSW,103,Banks,121441,Allawah (Banks),999,Informal,Informal,999,N,N,NA,Informal,57,8.03
NSW,103,Banks,121444,Allawah South (Banks),41763,TARUSTE,Allan,1,N,N,CYA,Trumpet of Patriots,8,2.91
NSW,103,Banks,121444,Allawah South (Banks),41858,NICOL,Todd,2,N,N,ON,Pauline Hanson's One Nation,8,0.51
NSW,103,Banks,121444,Allawah South (Banks),41990,PEARCE,Phillip,3,N,N,AUD,Australian Democrats,2,0.73
NSW,103,Banks,121444,Allawah South (Banks),41871,MOMIRCEVSKI,Marika,4,N,N,LTP,Libertarian,7,2.55
NSW,103,Banks,121444,Allawah South (Banks),41486,HANNA,Natalie,5,N,N,GRN,The Greens,33,3.44
NSW,103,Banks,121444,Allawah South (Banks),41350,SOON,Zhi,6,Y,N,ALP,Labor,104,-1.86
NSW,103,Banks,121444,Allawah South (Banks),41411,COLEMAN,David,7,N,Y,LP,Liberal,110,-1.57
NSW,103,Banks,121444,Allawah South (Banks),40625,COYNE,John,8,N,N,IND,Independent,3,1.09
NSW,103,Banks,121444,Allawah South (Banks),999,Informal,Informal,999,N,N,NA,Informal,25,0.61
NSW,103,Banks,97646,Bankstown BANKS PPVC,41763,TARUSTE,Allan,1,N,N,CYA,Trumpet of Patriots,80,8.38
NSW,103,Banks,97646,Bankstown BANKS PPVC,41858,NICOL,Todd,2,N,N,ON,Pauline Hanson's One Nation,30,0.07
NSW,103,Banks,97646,Bankstown BANKS PPVC,41990,PEARCE,Phillip,3,N,N,AUD,Australian Democrats,17,1.78
NSW,103,Banks,97646,Bankstown BANKS PPVC,41871,MOMIRCEVSKI,Marika,4,N,N,LTP,Libertarian,36,3.77
NSW,103,Banks,97646,Bankstown BANKS PPVC,41486,HANNA,Natalie,5,N,N,GRN,The Greens,121,7.8
NSW,103,Banks,97646,Bankstown BANKS PPVC,41350,SOON,Zhi,6,Y,N,ALP,Labor,430,-5.78
NSW,103,Banks,97646,Bankstown BANKS PPVC,41411,COLEMAN,David,7,N,Y,LP,Liberal,200,-13.37
NSW,103,Banks,97646,Bankstown BANKS PPVC,40625,COYNE,John,8,N,N,IND,Independent,41,4.29
NSW,103,Banks,97646,Bankstown BANKS PPVC,999,Informal,Informal,999,N,N,NA,Informal,271,11.8
NSW,103,Banks,121548,Belmore BANKS PPVC,41763,TARUSTE,Allan,1,N,N,CYA,Trumpet of Patriots,62,8.79
NSW,103,Banks,121548,Belmore BANKS PPVC,41858,NICOL,Todd,2,N,N,ON,Pauline Hanson's One Nation,31,-0.16
NSW,103,Banks,121548,Belmore BANKS PPVC,41990,PEARCE,Phillip,3,N,N,AUD,Australian Democrats,1,0.14
NSW,103,Banks,121548,Belmore BANKS PPVC,41871,MOMIRCEVSKI,Marika,4,N,N,LTP,Libertarian,8,1.13
