StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
ACT,318,Bean,41076,LAMERTON,David,1,N,N,LP,Liberal,20232,372,60,906,2089,23659,-6.68
ACT,318,Bean,41682,PRICE,Jessie,2,N,N,IND,Independent,24393,362,79,657,1627,27118,26.41
ACT,318,Bean,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,8263,322,30,517,623,9755,-5.3
ACT,318,Bean,40676,SMITH,David,4,N,Y,ALP,Australian Labor Party,36875,674,118,1560,2929,42156,-0.68
ACT,318,Bean,999,Informal,Informal,999,N,N,NA,Informal,2392,73,10,65,133,2673,-0.34
ACT,101,Canberra,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,15722,322,80,1253,1084,18461,-4.93
ACT,101,Canberra,41742,LIDDICOAT,Mary-Jane,2,N,N,IMO,HEART Party,994,31,6,68,118,1217,1.3
ACT,101,Canberra,41696,MILES,Claire,3,N,N,IND,Independent,8627,184,31,483,868,10193,10.91
ACT,101,Canberra,41077,ROCHE,Will,4,N,N,LP,Liberal,13882,241,51,1035,1879,17088,-3.48
ACT,101,Canberra,40677,PAYNE,Alicia,5,N,Y,ALP,Australian Labor Party,38026,629,173,2881,3502,45211,3.51
ACT,101,Canberra,41706,McTAGGART,Teresa,6,N,N,AJP,AJP,1029,41,1,62,126,1259,1.35
ACT,101,Canberra,999,Informal,Informal,999,N,N,NA,Informal,1728,55,8,93,142,2026,0.35
ACT,102,Fenner,41079,OLATUNBOSUN,Bola,1,N,N,LP,Liberal,17742,390,66,734,1791,20723,-5.9
ACT,102,Fenner,41713,KIKKERT,Elizabeth,2,N,N,FFP,Family First,6426,170,31,254,544,7425,7.86
ACT,102,Fenner,40678,LEIGH,Andrew,3,N,Y,ALP,Australian Labor Party,44844,897,184,1494,3400,50819,5.49
ACT,102,Fenner,41398,HUNTERFORD,Dani,4,N,N,GRN,Australian Greens,13622,406,58,512,895,15493,-0.35
ACT,102,Fenner,999,Informal,Informal,999,N,N,NA,Informal,2273,77,6,63,121,2540,-0.08
NSW,103,Banks,41763,TARUSTE,Allan,1,N,N,CYA,Trumpet of Patriots,2776,221,4,111,334,3446,3.48
NSW,103,Banks,41858,NICOL,Todd,2,N,N,ON,Pauline Hanson's One Nation,2880,185,3,103,505,3676,0.44
NSW,103,Banks,41990,PEARCE,Phillip,3,N,N,AUD,Australian Democrats,565,30,1,19,74,689,0.7
NSW,103,Banks,41871,MOMIRCEVSKI,Marika,4,N,N,LTP,Libertarian,2353,91,0,63,181,2688,2.72
NSW,103,Banks,41486,HANNA,Natalie,5,N,N,GRN,The Greens,9813,594,16,317,1020,11760,3.27
NSW,103,Banks,41350,SOON,Zhi,6,N,N,ALP,Labor,29923,1066,43,923,4084,36039,0.57
NSW,103,Banks,41411,COLEMAN,David,7,N,Y,LP,Liberal,31881,842,40,817,5103,38683,-5.52
NSW,103,Banks,40625,COYNE,John,8,N,N,IND,Independent,1527,119,1,57,295,1999,2.02
NSW,103,Banks,999,Informal,Informal,999,N,N,NA,Informal,9594,524,7,219,601,10945,3.12
NSW,104,Barton,41874,KOLHATKAR,Vinay,1,N,N,LTP,Libertarian,2905,189,3,103,219,3419,3.42
NSW,104,Barton,41862,NICOLIS,Christos,2,N,N,ON,Pauline Hanson's One Nation,4521,255,2,172,634,5584,0.72
NSW,104,Barton,41339,AMBIHAIPAHAR,Ash,3,N,N,ALP,Labor,39476,1604,51,1277,4690,47098,-0.89
NSW,104,Barton,41448,DOUSKOU,Fiona,4,N,N,LP,Liberal,19700,866,15,660,2920,24161,-5.24
NSW,104,Barton,41494,BAHSA,Manal,5,N,N,GRN,The Greens,13170,894,26,492,1319,15901,4.89
NSW,104,Barton,41768,PAMBRIS,Thomas,6,N,N,CYA,Trumpet of Patriots,3176,172,2,103,375,3828,3.83
NSW,104,Barton,999,Informal,Informal,999,N,N,NA,Informal,9180,439,4,163,429,10215,1.31
NSW,105,Bennelong,41444,YUNG,Scott,1,N,N,LP,Liberal,30447,959,36,1072,5996,38510,-5.61
NSW,105,Bennelong,41987,DEVINE,Barry,2,N,N,IMO,HEART Party,654,40,1,20,91,806,0.56
NSW,105,Bennelong,41765,NALBANDIAN,Robert,3,N,N,CYA,Trumpet of Patriots,1243,86,2,57,234,1622,1.48
NSW,105,Bennelong,41329,LAXALE,Jerome,4,N,Y,ALP,Labor,40455,1287,58,1426,6575,49801,13.26
NSW,105,Bennelong,41504,HART,Adam,5,N,N,GRN,The Greens,10388,582,24,518,1420,12932,1.44
NSW,105,Bennelong,41881,CHAN,Eric,6,N,N,FFP,Family First,1508,70,1,63,293,1935,1.76
