StateAb,GroupAb,GroupNm,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,DeclarationPrePollVotes,DeclarationPrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage
NSW,ALP,Labor,1571768,37.78,51543,35.27,2319,37.22,54355,37.1,189537,37.39,1869522,37.64
NSW,LPNP,Liberal & Nationals,1214340,29.19,32358,22.14,1388,22.28,39112,26.69,175419,34.61,1462617,29.45
NSW,GRN,The Greens,469331,11.28,22196,15.19,967,15.52,20270,13.83,43425,8.57,556189,11.2
NSW,HMP,Legalise Cannabis Party,147634,3.55,9158,6.27,294,4.72,5305,3.62,10580,2.09,172971,3.48
NSW,CYA,Trumpet of Patriots,100825,2.42,4431,3.03,159,2.55,3578,2.44,9954,1.96,118947,2.4
NSW,AJP,Animal Justice Party,48304,1.16,2211,1.51,104,1.67,1807,1.23,7299,1.44,59725,1.2
NSW,AV,Australia's Voice,30637,0.74,1611,1.1,65,1.04,1207,0.82,2860,0.56,36380,0.73
NSW,AUC,Australian Christians,48740,1.17,2351,1.61,102,1.64,1750,1.19,5741,1.13,58684,1.18
NSW,CEC,Citizens Party,8928,0.21,352,0.24,12,0.19,321,0.22,974,0.19,10587,0.21
NSW,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,13497,0.32,640,0.44,30,0.48,579,0.4,1717,0.34,16463,0.33
NSW,FFPA,Family First,68621,1.65,3038,2.08,123,1.97,2261,1.54,5762,1.14,79805,1.61
NSW,IAP,Indigenous - Aboriginal Party of Australia,27029,0.65,1671,1.14,65,1.04,1182,0.81,2109,0.42,32056,0.65
NSW,JLN,Jacqui Lambie Network,41665,1,900,0.62,60,0.96,1518,1.04,8390,1.66,52533,1.06
NSW,PFHL,Libertarian / HEART / Gerard Rennick People First,78518,1.89,2992,2.05,133,2.13,2745,1.87,8028,1.58,92416,1.86
NSW,ON,Pauline Hanson's One Nation,253160,6.08,8964,6.13,334,5.36,8913,6.08,30111,5.94,301482,6.07
NSW,SAL,Socialist Alliance,10421,0.25,487,0.33,19,0.3,503,0.34,1134,0.22,12564,0.25
NSW,SPP,Sustainable Australia Party - Universal Basic Income,13243,0.32,609,0.42,21,0.34,557,0.38,1767,0.35,16197,0.33
NSW,UNAM,Unendorsed/Ungrouped Amalgamated,13935,0.33,607,0.42,35,0.56,563,0.38,2068,0.41,17208,0.35
VIC,ALP,Australian Labor Party,1080784,34.84,45860,31.6,1827,35.32,47232,32.45,242758,35.04,1418461,34.67
VIC,LPNP,Liberal/The Nationals,960130,30.95,35530,24.48,1247,24.11,43087,29.6,246053,35.51,1286047,31.44
VIC,GRN,The Greens,396155,12.77,25503,17.57,806,15.58,22354,15.36,64517,9.31,509335,12.45
VIC,AV,Australia's Voice,31328,1.01,1838,1.27,79,1.53,1122,0.77,5273,0.76,39640,0.97
VIC,HMP,Legalise Cannabis Party,114352,3.69,8642,5.96,246,4.76,5639,3.87,19253,2.78,148132,3.62
VIC,LTP,Libertarian,18746,0.6,977,0.67,47,0.91,959,0.66,2826,0.41,23555,0.58
VIC,CYA,Trumpet of Patriots,76787,2.48,4404,3.03,121,2.34,3916,2.69,18019,2.6,103247,2.52
VIC,AJP,Animal Justice Party,45840,1.48,2721,1.88,93,1.8,2235,1.54,13484,1.95,64373,1.57
VIC,AUD,Australian Democrats,13150,0.42,520,0.36,23,0.44,586,0.4,3011,0.43,17290,0.42
VIC,CEC,Citizens Party,7734,0.25,302,0.21,21,0.41,319,0.22,1389,0.2,9765,0.24
VIC,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,7637,0.25,541,0.37,19,0.37,424,0.29,1959,0.28,10580,0.26
VIC,FFPA,Family First,57461,1.85,2813,1.94,121,2.34,2359,1.62,11689,1.69,74443,1.82
VIC,GRHE,Gerard Rennick People First - Heart,33182,1.07,1716,1.18,58,1.12,1768,1.21,7112,1.03,43836,1.07
VIC,IAP,Indigenous - Aboriginal Party of Australia,20318,0.65,1365,0.94,47,0.91,1171,0.8,3528,0.51,26429,0.65
VIC,ON,Pauline Hanson's One Nation,135563,4.37,6146,4.24,202,3.91,6900,4.74,32874,4.74,181685,4.44
VIC,ASP,"Shooters, Fishers and Farmers Party",37428,1.21,2199,1.52,62,1.2,2431,1.67,8600,1.24,50720,1.24
VIC,SPP,Sustainable Australia Party - Universal Basic Income,7730,0.25,460,0.32,12,0.23,421,0.29,2096,0.3,10719,0.26
VIC,VNS,Victorian Socialists,50644,1.63,3185,2.19,127,2.46,2274,1.56,6388,0.92,62618,1.53
VIC,UNAM,Unendorsed/Ungrouped Amalgamated,7158,0.23,388,0.27,14,0.27,370,0.25,2034,0.29,9964,0.24
