StateAb,GroupAb,GroupNm,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,DeclarationPrePollVotes,DeclarationPrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage
NSW,ALP,Labor,1557425,37.86,49752,35.46,2233,37.64,52408,37.46,184553,37.57,1846371,37.75
NSW,LPNP,Liberal & Nationals,1201226,29.2,31406,22.39,1340,22.59,37693,26.94,171576,34.92,1443241,29.5
NSW,GRN,The Greens,466184,11.33,21383,15.24,911,15.35,19075,13.63,41137,8.37,548690,11.22
NSW,HMP,Legalise Cannabis Party,143198,3.48,8776,6.26,286,4.82,5063,3.62,10138,2.06,167461,3.42
NSW,CYA,Trumpet of Patriots,99183,2.41,4214,3,158,2.66,3426,2.45,9702,1.97,116683,2.39
NSW,AJP,Animal Justice Party,47652,1.16,2065,1.47,98,1.65,1750,1.25,7027,1.43,58592,1.2
NSW,AV,Australia's Voice,30029,0.73,1482,1.06,63,1.06,1123,0.8,2716,0.55,35413,0.72
NSW,AUC,Australian Christians,48096,1.17,2227,1.59,93,1.57,1627,1.16,5531,1.13,57574,1.18
NSW,CEC,Citizens Party,8882,0.22,314,0.22,11,0.19,294,0.21,938,0.19,10439,0.21
NSW,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,13371,0.33,610,0.43,29,0.49,523,0.37,1638,0.33,16171,0.33
NSW,FFPA,Family First,67663,1.64,2818,2.01,114,1.92,2116,1.51,5478,1.12,78189,1.6
NSW,IAP,Indigenous - Aboriginal Party of Australia,26495,0.64,1614,1.15,59,0.99,1073,0.77,1972,0.4,31213,0.64
NSW,JLN,Jacqui Lambie Network,41210,1,851,0.61,56,0.94,1430,1.02,8033,1.64,51580,1.05
NSW,PFHL,Libertarian / HEART / Gerard Rennick People First,77786,1.89,2793,1.99,113,1.9,2556,1.83,7566,1.54,90814,1.86
NSW,ON,Pauline Hanson's One Nation,248834,6.05,8523,6.08,309,5.21,8440,6.03,28927,5.89,295033,6.03
NSW,SAL,Socialist Alliance,10374,0.25,447,0.32,15,0.25,451,0.32,1047,0.21,12334,0.25
NSW,SPP,Sustainable Australia Party - Universal Basic Income,13095,0.32,570,0.41,18,0.3,513,0.37,1648,0.34,15844,0.32
NSW,UNAM,Unendorsed/Ungrouped Amalgamated,13412,0.33,441,0.31,27,0.46,355,0.25,1653,0.34,15888,0.32
VIC,ALP,Australian Labor Party,1076938,34.87,44625,32,1745,36.17,45269,32.38,237455,35.26,1406032,34.76
VIC,LPNP,Liberal/The Nationals,956111,30.96,34710,24.89,1192,24.71,41951,30.01,241553,35.87,1275517,31.53
VIC,GRN,The Greens,394831,12.79,24320,17.44,736,15.26,21208,15.17,61542,9.14,502637,12.42
VIC,AV,Australia's Voice,31065,1.01,1748,1.25,66,1.37,1054,0.75,5090,0.76,39023,0.96
VIC,HMP,Legalise Cannabis Party,113564,3.68,8066,5.78,209,4.33,5280,3.78,18113,2.69,145232,3.59
VIC,LTP,Libertarian,18697,0.61,906,0.65,43,0.89,901,0.64,2662,0.4,23209,0.57
VIC,CYA,Trumpet of Patriots,76268,2.47,4253,3.05,112,2.32,3787,2.71,17591,2.61,102011,2.52
VIC,AJP,Animal Justice Party,45548,1.47,2596,1.86,89,1.84,2123,1.52,13013,1.93,63369,1.57
VIC,AUD,Australian Democrats,12755,0.41,485,0.35,18,0.37,1137,0.81,2894,0.43,17289,0.43
VIC,CEC,Citizens Party,7681,0.25,285,0.2,20,0.41,289,0.21,1323,0.2,9598,0.24
VIC,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,7659,0.25,505,0.36,18,0.37,387,0.28,1811,0.27,10380,0.26
VIC,FFPA,Family First,57107,1.85,2693,1.93,110,2.28,2277,1.63,11171,1.66,73358,1.81
VIC,GRHE,Gerard Rennick People First - Heart,33025,1.07,1561,1.12,46,0.95,1632,1.17,6725,1,42989,1.06
VIC,IAP,Indigenous - Aboriginal Party of Australia,20151,0.65,1289,0.92,43,0.89,1071,0.77,3277,0.49,25831,0.64
VIC,ON,Pauline Hanson's One Nation,134449,4.35,5958,4.27,189,3.92,6605,4.73,31905,4.74,179106,4.43
VIC,ASP,"Shooters, Fishers and Farmers Party",37022,1.2,2100,1.51,57,1.18,2320,1.66,8264,1.23,49763,1.23
VIC,SPP,Sustainable Australia Party - Universal Basic Income,7772,0.25,421,0.3,12,0.25,390,0.28,1978,0.29,10573,0.26
