StateAb,Year,PartyAb,DivisionNm,TotalVotesGRN,TotalVotesDIV,grn_pc
NSW,2025,GRN,Banks,11760,98980,11.881188118811881
NSW,2025,GRN,Barton,15901,99991,15.902431218809692
NSW,2025,GRN,Bennelong,12932,109815,11.776169011519373
NSW,2025,GRN,Berowra,13788,115589,11.92847070222945
NSW,2025,GRN,Blaxland,6855,86915,7.887016050163953
NSW,2025,GRN,Bradfield,7573,112413,6.736765320736926
NSW,2025,GRN,Calare,3762,106338,3.537775771596231
NSW,2025,GRN,Chifley,8682,89055,9.749031497389254
NSW,2025,GRN,Cook,10577,106376,9.943032262916446
NSW,2025,GRN,Cowper,4568,107762,4.238971065867374
NSW,2025,GRN,Cunningham,23596,115504,20.42872974096135
NSW,2025,GRN,Dobell,10651,103469,10.293904454474287
NSW,2025,GRN,Eden-Monaro,10728,107065,10.020081259048242
NSW,2025,GRN,Farrer,5070,102945,4.924959930059741
NSW,2025,GRN,Fowler,6295,93011,6.768016686198407
NSW,2025,GRN,Gilmore,7931,111084,7.139642072665731
NSW,2025,GRN,Grayndler,27788,110824,25.073991193243337
NSW,2025,GRN,Greenway,11018,102768,10.721236182469251
NSW,2025,GRN,Hughes,11229,98358,11.416458244372599
NSW,2025,GRN,Hume,8451,99478,8.495345704577897
NSW,2025,GRN,Hunter,8293,111711,7.423619876287922
NSW,2025,GRN,Kingsford Smith,13437,99158,13.551100264224772
NSW,2025,GRN,Lindsay,9392,97986,9.585042761210785
NSW,2025,GRN,Lyne,6972,109387,6.37370071397881
NSW,2025,GRN,Macarthur,12004,93820,12.794713280750372
NSW,2025,GRN,Mackellar,6857,111808,6.132834859759588
NSW,2025,GRN,Macquarie,13672,109719,12.460922903052344
NSW,2025,GRN,McMahon,8950,97845,9.14712044560274
NSW,2025,GRN,Mitchell,15044,109551,13.732416865204334
NSW,2025,GRN,New England,9022,114367,7.888639205365185
NSW,2025,GRN,Newcastle,24053,108387,22.19177576646646
NSW,2025,GRN,Page,16297,107673,15.135642175847241
NSW,2025,GRN,Parkes,6414,104930,6.112646526255599
NSW,2025,GRN,Parramatta,11760,97203,12.098392024937501
NSW,2025,GRN,Paterson,8241,108775,7.576189381751322
NSW,2025,GRN,Reid,11678,101490,11.506552369691596
NSW,2025,GRN,Richmond,27790,104968,26.474735157381296
NSW,2025,GRN,Riverina,4768,105971,4.49934416019477
NSW,2025,GRN,Robertson,9125,101497,8.990413509758909
NSW,2025,GRN,Shortland,12265,108159,11.339786795366082
NSW,2025,GRN,Sydney,23159,107311,21.581198572373754
NSW,2025,GRN,Warringah,10051,114900,8.747606614447346
NSW,2025,GRN,Watson,7411,82937,8.93569818054668
NSW,2025,GRN,Wentworth,11243,110445,10.179727466159626
NSW,2025,GRN,Werriwa,9785,87694,11.158118001231555
NSW,2025,GRN,Whitlam,13569,109351,12.408665672924801
