StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing,TotalPollPlaceVotes,party_pc
NSW,133,Macquarie,1748,Bilpin,41602,MORGAN,Terry,4,N,N,GRN,The Greens,38,4.65,462,8.225108225108226
NSW,133,Macquarie,1749,Blackheath,41602,MORGAN,Terry,4,N,N,GRN,The Greens,447,11.13,1583,28.237523689197726
NSW,133,Macquarie,1475,Blaxland,41602,MORGAN,Terry,4,N,N,GRN,The Greens,74,4.17,467,15.845824411134904
NSW,133,Macquarie,1476,Blaxland East,41602,MORGAN,Terry,4,N,N,GRN,The Greens,305,2.16,2118,14.400377714825307
NSW,133,Macquarie,8874,Bligh Park,41602,MORGAN,Terry,4,N,N,GRN,The Greens,125,3.39,1603,7.797878976918278
NSW,133,Macquarie,32744,Bligh Park East,41602,MORGAN,Terry,4,N,N,GRN,The Greens,85,3.72,987,8.611955420466058
NSW,133,Macquarie,1755,Cattai,41602,MORGAN,Terry,4,N,N,GRN,The Greens,5,-3.26,145,3.4482758620689653
NSW,133,Macquarie,1756,Colo Heights,41602,MORGAN,Terry,4,N,N,GRN,The Greens,10,1.27,153,6.535947712418301
NSW,133,Macquarie,65414,EAV Macquarie PPVC,41602,MORGAN,Terry,4,N,N,GRN,The Greens,0,-0.41,16,0
NSW,133,Macquarie,1759,Ebenezer,41602,MORGAN,Terry,4,N,N,GRN,The Greens,44,2.71,680,6.470588235294119
NSW,133,Macquarie,1483,Emu Heights,41602,MORGAN,Terry,4,N,N,GRN,The Greens,116,0.13,1014,11.439842209072978
NSW,133,Macquarie,1484,Emu Plains,41602,MORGAN,Terry,4,N,N,GRN,The Greens,81,0.1,840,9.642857142857144
NSW,133,Macquarie,83599,Emu Plains Central,41602,MORGAN,Terry,4,N,N,GRN,The Greens,37,-0.21,387,9.560723514211885
NSW,133,Macquarie,97409,Emu Plains MACQUARIE PPVC,41602,MORGAN,Terry,4,N,N,GRN,The Greens,536,1.21,6280,8.535031847133757
NSW,133,Macquarie,1494,Emu Plains North,41602,MORGAN,Terry,4,N,N,GRN,The Greens,86,1.06,639,13.458528951486699
NSW,133,Macquarie,1761,Faulconbridge,41602,MORGAN,Terry,4,N,N,GRN,The Greens,248,4.55,1357,18.275607958732497
NSW,133,Macquarie,1763,Freemans Reach,41602,MORGAN,Terry,4,N,N,GRN,The Greens,57,3.44,941,6.057385759829968
NSW,133,Macquarie,1485,Glenbrook,41602,MORGAN,Terry,4,N,N,GRN,The Greens,264,1.68,1796,14.699331848552339
NSW,133,Macquarie,1765,Glossodia,41602,MORGAN,Terry,4,N,N,GRN,The Greens,74,4.48,940,7.872340425531915
NSW,133,Macquarie,1766,Grose Wold,41602,MORGAN,Terry,4,N,N,GRN,The Greens,66,3.23,813,8.118081180811808
NSW,133,Macquarie,1768,Hazelbrook,41602,MORGAN,Terry,4,N,N,GRN,The Greens,345,5.76,1530,22.54901960784314
NSW,133,Macquarie,1769,Hobartville,41602,MORGAN,Terry,4,N,N,GRN,The Greens,126,2.09,1223,10.302534750613246
NSW,133,Macquarie,1771,Katoomba,41602,MORGAN,Terry,4,N,N,GRN,The Greens,235,10.05,739,31.799729364005415
NSW,133,Macquarie,1775,Katoomba Central,41602,MORGAN,Terry,4,N,N,GRN,The Greens,232,9.42,764,30.36649214659686
NSW,133,Macquarie,1774,Katoomba North,41602,MORGAN,Terry,4,N,N,GRN,The Greens,227,6,834,27.218225419664265
NSW,133,Macquarie,34037,Katoomba PPVC,41602,MORGAN,Terry,4,N,N,GRN,The Greens,1830,4.73,8914,20.529504150774063
NSW,133,Macquarie,1776,Kurmond,41602,MORGAN,Terry,4,N,N,GRN,The Greens,61,1.61,818,7.45721271393643
NSW,133,Macquarie,1777,Kurrajong,41602,MORGAN,Terry,4,N,N,GRN,The Greens,122,4.12,1089,11.202938475665748
NSW,133,Macquarie,1778,Kurrajong East,41602,MORGAN,Terry,4,N,N,GRN,The Greens,31,2.12,488,6.352459016393443
NSW,133,Macquarie,1757,Kurrajong North,41602,MORGAN,Terry,4,N,N,GRN,The Greens,40,1,666,6.006006006006006
NSW,133,Macquarie,1490,Lapstone,41602,MORGAN,Terry,4,N,N,GRN,The Greens,159,1.87,1174,13.543441226575808
NSW,133,Macquarie,1780,Lawson,41602,MORGAN,Terry,4,N,N,GRN,The Greens,365,10.07,1431,25.506638714185886
NSW,133,Macquarie,1491,Leonay,41602,MORGAN,Terry,4,N,N,GRN,The Greens,92,1.31,895,10.279329608938548
NSW,133,Macquarie,1781,Leura,41602,MORGAN,Terry,4,N,N,GRN,The Greens,151,4.16,667,22.638680659670165
NSW,133,Macquarie,1782,Leura Central,41602,MORGAN,Terry,4,N,N,GRN,The Greens,112,1.78,516,21.705426356589147
NSW,133,Macquarie,1787,Maraylya (Macquarie),41602,MORGAN,Terry,4,N,N,GRN,The Greens,26,3.15,421,6.175771971496437
NSW,133,Macquarie,1786,McGraths Hill,41602,MORGAN,Terry,4,N,N,GRN,The Greens,40,2.2,531,7.532956685499058
NSW,133,Macquarie,1493,Mount Riverview,41602,MORGAN,Terry,4,N,N,GRN,The Greens,152,1.25,1341,11.334824757643549
NSW,133,Macquarie,1792,Mount Victoria,41602,MORGAN,Terry,4,N,N,GRN,The Greens,114,6.39,425,26.823529411764707
NSW,133,Macquarie,1802,North Richmond,41602,MORGAN,Terry,4,N,N,GRN,The Greens,162,4.4,1694,9.563164108618654
NSW,133,Macquarie,1794,Oakville,41602,MORGAN,Terry,4,N,N,GRN,The Greens,48,2.57,862,5.56844547563805
NSW,133,Macquarie,65193,Penrith MACQUARIE PPVC,41602,MORGAN,Terry,4,N,N,GRN,The Greens,126,6.12,844,14.928909952606634
NSW,133,Macquarie,1797,Pitt Town,41602,MORGAN,Terry,4,N,N,GRN,The Greens,46,-0.78,1449,3.1746031746031744
NSW,133,Macquarie,1800,Richmond,41602,MORGAN,Terry,4,N,N,GRN,The Greens,129,2.86,1189,10.849453322119427
NSW,133,Macquarie,47782,Richmond MACQUARIE PPVC,41602,MORGAN,Terry,4,N,N,GRN,The Greens,532,2.02,9126,5.829498137190445
NSW,133,Macquarie,109190,Special Hospital Team 1,41602,MORGAN,Terry,4,N,N,GRN,The Greens,19,-0.39,241,7.883817427385892
NSW,133,Macquarie,109191,Special Hospital Team 2,41602,MORGAN,Terry,4,N,N,GRN,The Greens,7,-3.54,148,4.72972972972973
NSW,133,Macquarie,1805,Springwood,41602,MORGAN,Terry,4,N,N,GRN,The Greens,158,6.2,746,21.179624664879356
NSW,133,Macquarie,8875,Springwood North,41602,MORGAN,Terry,4,N,N,GRN,The Greens,163,2.02,1354,12.038404726735598
NSW,133,Macquarie,34038,Springwood PPVC,41602,MORGAN,Terry,4,N,N,GRN,The Greens,1259,2.26,10406,12.098789160099942
NSW,133,Macquarie,1806,Springwood South,41602,MORGAN,Terry,4,N,N,GRN,The Greens,182,5.92,983,18.514750762970497
NSW,133,Macquarie,1804,St Albans,41602,MORGAN,Terry,4,N,N,GRN,The Greens,15,6.22,146,10.273972602739725
NSW,133,Macquarie,1809,Valley Heights,41602,MORGAN,Terry,4,N,N,GRN,The Greens,49,-1.36,532,9.210526315789473
NSW,133,Macquarie,57669,Vineyard East (Macquarie),41602,MORGAN,Terry,4,N,N,GRN,The Greens,21,-0.32,298,7.046979865771812
NSW,133,Macquarie,1811,Warrimoo,41602,MORGAN,Terry,4,N,N,GRN,The Greens,162,5.88,762,21.25984251968504
NSW,133,Macquarie,1812,Wentworth Falls,41602,MORGAN,Terry,4,N,N,GRN,The Greens,376,5.47,1693,22.209096278795037
NSW,133,Macquarie,1813,Wilberforce,41602,MORGAN,Terry,4,N,N,GRN,The Greens,59,1.57,1077,5.478180129990715
NSW,133,Macquarie,1814,Windsor,41602,MORGAN,Terry,4,N,N,GRN,The Greens,86,6.43,752,11.436170212765957
NSW,133,Macquarie,97408,Windsor PPVC,41602,MORGAN,Terry,4,N,N,GRN,The Greens,411,2.25,7281,5.644829007004533
NSW,133,Macquarie,1815,Windsor South,41602,MORGAN,Terry,4,N,N,GRN,The Greens,119,4.42,1337,8.900523560209423
NSW,133,Macquarie,1816,Winmalee,41602,MORGAN,Terry,4,N,N,GRN,The Greens,204,4.57,1558,13.093709884467266
NSW,133,Macquarie,1818,Woodford,41602,MORGAN,Terry,4,N,N,GRN,The Greens,125,6.17,612,20.424836601307188
NSW,133,Macquarie,1819,Yarramundi,41602,MORGAN,Terry,4,N,N,GRN,The Greens,22,2.91,313,7.0287539936102235
